Production_History[0].Process_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Vial Unloaded at Station1 or Station8,Read/Write,,,,,
Production_History[0].Process_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Complete Process Time (ms),Read/Write,,,,,
Production_History[0].Vial_Damage_Inspect_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Vial Check Initiated,Read/Write,,,,,
Production_History[0].Vial_Damage_Inspect_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Vial Check Completed,Read/Write,,,,,
Production_History[0].Vial_Damage_Inspect_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Vial Check (ms),Read/Write,,,,,
Production_History[0].Vial_BCR_Read_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp BCR Initiated,Read/Write,,,,,
Production_History[0].Vial_BCR_Read_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp BCR Completed,Read/Write,,,,,
Production_History[0].Vial_BCR_Read_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of BCR Read (ms),Read/Write,,,,,
Production_History[0].Station1_Check_n_Load_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Station1 Process Initiated,Read/Write,,,,,
Production_History[0].Station1_Check_n_Load_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Station1 Process Completed,Read/Write,,,,,
Production_History[0].Station_1_Check_n_Load_Duration,225340,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Station1 Load Time (ms),Read/Write,,,,,
Production_History[0].Dry_Fill_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Dry Fill Process Initiated,Read/Write,,,,,
Production_History[0].Dry_Fill_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Dry Fill Process Completed,Read/Write,,,,,
Production_History[0].Dry_Fill_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Dry Fill Time (ms),Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Dry Fill Process Initiated,Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Dry Fill Process Completed,Read/Write,,,,,
Production_History[0].Wet_Fill_Station3_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Wet Fill Station1 Time (ms),Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station2 Initiated,Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station2 Completed,Read/Write,,,,,
Production_History[0].Wet_Fill_Station4_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Wet Fill Station2 Time (ms),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle1_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station3 Nozzle1 Initiated,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle1_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station3 Nozzle1 Completed,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle1_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Wet Fill Station3 Nozzle1 Time (ms),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle2_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station3 Nozzle2 Initiated,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle2_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station3 Nozzle2 Completed,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle2_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Wet Fill Station3 Nozzle2 Time (ms),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle3_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station3 Nozzle3 Initiated,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle3_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station3 Nozzle3 Completed,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle3_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Wet Fill Station3 Nozzle3 Time (ms),Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle4_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station3 Nozzle4 Initiated,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle4_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Wet Fill Station3 Nozzle4 Completed,Read/Write,,,,,
Production_History[0].Wet_Fill_Station5_Nozzle4_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Wet Fill Station3 Nozzle4 Time (ms),Read/Write,,,,,
Production_History[0].Capping_Station_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Capping Station Process Initiated,Read/Write,,,,,
Production_History[0].Capping_Station_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Capping Station Process Completed,Read/Write,,,,,
Production_History[0].Capping_Station_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Capping Station Time (ms),Read/Write,,,,,
Production_History[0].Inspect_WeighCheck_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp WeighCheck Process Initiated,Read/Write,,,,,
Production_History[0].Inspect_WeighCheck_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp WeighCheck Process Completed,Read/Write,,,,,
Production_History[0].Inspect_WeighCheck_Duration,95790,Decimal,DINT,Standard,Data & Process Recipe Information Duration of WeighCheck Time (ms),Read/Write,,,,,
Production_History[0].Inspect_WeighCheck_Wait_on_Robot,0,Decimal,DINT,Standard,Data & Process Recipe Information Time Waiting on Robot to Service Weigh Check Station (ms),Read/Write,,,,,
Production_History[0].Inspect_Vision_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Vision Check Initiated,Read/Write,,,,,
Production_History[0].Inspect_Vision_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Vision Check Completed,Read/Write,,,,,
Production_History[0].Inspect_Vision_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Vision Check Time (ms),Read/Write,,,,,
Production_History[0].Inspect_Vision_Wait_on_Robot,0,Decimal,DINT,Standard,Data & Process Recipe Information Time Waiting on Robot to Service Vision Check Station (ms),Read/Write,,,,,
Production_History[0].Station9_Reject_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Station8 Unload Initiated,Read/Write,,,,,
Production_History[0].Station9_Reject_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Station8 Unload Completed,Read/Write,,,,,
Production_History[0].Station9_Reject_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Station8 Unload Time (ms),Read/Write,,,,,
Production_History[0].Station9_Wait_on_Robot,0,Decimal,DINT,Standard,Data & Process Recipe Information Time Waiting on Robot to Service Reject Staion8 (ms),Read/Write,,,,,
Production_History[0].Unload_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Station1 Unload Initiated,Read/Write,,,,,
Production_History[0].Unload_Finish_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Station1 Unload Completed,Read/Write,,,,,
Production_History[0].Unload_Duration,0,Decimal,DINT,Standard,Data & Process Recipe Information Duration of Unload Time Station1 (ms),Read/Write,,,,,
Production_History[1],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
Production_History[2],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
Production_History[3],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
Production_History[4],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
Production_History[5],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
Production_History[6],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
Production_History[7],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
Production_History[8],{...},,Process_Data,Standard,Data & Process Recipe Information,Read/Write,,,,,
