mimeType,model_id,tag_id,vqts
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:44.753Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:45.066Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:46.753Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:48.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:50.754Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:51.066Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:52.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:54.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:56.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:58.754Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:48:59.067Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:00.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:02.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:04.754Z"",""v"":true}]"
