Data Source,Tag,Name,Parent FQN,Type
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Month,Month,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Second,Second,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Year,Year,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.InspectStation.Vision,node
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Day,Day,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Month,Month,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Second,Second,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Year,Year,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
,,WeighCheck,tb1_process_do.FinishedVial.InspectStation,node
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Complete,Complete,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Data,Data,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Lower_Limit,LowerLimit,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Op_Required,OpRequired,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_PassFail,PassFail,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Upper_Limit,UpperLimit,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Duration,Duration,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Wait_on_Robot,WaitonRobot,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
,,FinishTime,tb1_process_do.FinishedVial.InspectStation.WeighCheck,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Day,Day,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Month,Month,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Second,Second,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Year,Year,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.InspectStation.WeighCheck,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Day,Day,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Month,Month,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Second,Second,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Year,Year,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
,,Station1,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Station_1_Check_n_Load_Duration,ChecknLoadDuration,tb1_process_do.FinishedVial.Station1,property
,,FinishTime,tb1_process_do.FinishedVial.Station1,node
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Day,Day,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Month,Month,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Second,Second,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Year,Year,tb1_process_do.FinishedVial.Station1.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.Station1,node
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Day,Day,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Month,Month,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Second,Second,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Year,Year,tb1_process_do.FinishedVial.Station1.StartTime,property
,,Station9,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Station9_Reject_Duration,RejectDuration,tb1_process_do.FinishedVial.Station9,property
,,FinishTime,tb1_process_do.FinishedVial.Station9,node
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Day,Day,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Month,Month,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Second,Second,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Year,Year,tb1_process_do.FinishedVial.Station9.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.Station9,node
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Day,Day,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Month,Month,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Second,Second,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Year,Year,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Wait_on_Robot,WaitonRobot,tb1_process_do.FinishedVial.Station9.StartTime,property
,,Unload,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Unload_Duration,Duration,tb1_process_do.FinishedVial.Unload,property
,,FinishTime,tb1_process_do.FinishedVial.Unload,node
tb1-process-plc,Production_History[0].Unload_Finish_Time.Day,Day,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Month,Month,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Second,Second,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Year,Year,tb1_process_do.FinishedVial.Unload.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.Unload,node
tb1-process-plc,Production_History[0].Unload_Start_Time.Day,Day,tb1_process_do.FinishedVial.Unload.StartTime,property
tb1-process-plc,Production_History[0].Unload_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.Unload.StartTime,property
tb1-process-plc,Production_History[0].Unload_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Unload.StartTime,property
tb1-process-plc,Production_History[0].Unload_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.Unload.StartTime,property
tb1-process-plc,Production_History[0].Unload_Start_Time.Month,Month,tb1_process_do.FinishedVial.Unload.StartTime,property
tb1-process-plc,Production_History[0].Unload_Start_Time.Second,Second,tb1_process_do.FinishedVial.Unload.StartTime,property
tb1-process-plc,Production_History[0].Unload_Start_Time.Year,Year,tb1_process_do.FinishedVial.Unload.StartTime,property
,,VialBCRRead,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Vial_Bar_Code_String,VialBarCodeString,tb1_process_do.FinishedVial.VialBCRRead,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Duration,Duration,tb1_process_do.FinishedVial.VialBCRRead,property
,,FinishTime,tb1_process_do.FinishedVial.VialBCRRead,node
tb1-process-plc,Production_History[0].Vial_BCR_Read_Finish_Time.Day,Day,tb1_process_do.FinishedVial.VialBCRRead.FinishTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.VialBCRRead.FinishTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.VialBCRRead.FinishTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.VialBCRRead.FinishTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Finish_Time.Month,Month,tb1_process_do.FinishedVial.VialBCRRead.FinishTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Finish_Time.Second,Second,tb1_process_do.FinishedVial.VialBCRRead.FinishTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Finish_Time.Year,Year,tb1_process_do.FinishedVial.VialBCRRead.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.VialBCRRead,node
tb1-process-plc,Production_History[0].Vial_BCR_Read_Start_Time.Day,Day,tb1_process_do.FinishedVial.VialBCRRead.StartTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.VialBCRRead.StartTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.VialBCRRead.StartTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.VialBCRRead.StartTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Start_Time.Month,Month,tb1_process_do.FinishedVial.VialBCRRead.StartTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Start_Time.Second,Second,tb1_process_do.FinishedVial.VialBCRRead.StartTime,property
tb1-process-plc,Production_History[0].Vial_BCR_Read_Start_Time.Year,Year,tb1_process_do.FinishedVial.VialBCRRead.StartTime,property
,,VialDamageInspect,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Vial_Damage_Inspect_Duration,Duration,tb1_process_do.FinishedVial.VialDamageInspect,property
,,FinishTime,tb1_process_do.FinishedVial.VialDamageInspect,node
tb1-process-plc,Production_History[0].Vial_Damage_Inspect_Finish_Time.Day,Day,tb1_process_do.FinishedVial.VialDamageInspect.FinishTime,property
tb1-process-plc,Production_History[0].Vial_Damage_Inspect_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.VialDamageInspect.FinishTime,property
tb1-process-plc,Production_History[0].Vial_Damage_Inspect_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.VialDamageInspect.FinishTime,property
