Data Source,Tag,Name,Parent FQN,Type
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Minute,Production_History[0].Inspect_WeighCheck_Finish_Time.Minute,tb1-process-model.inspect_weighcheck_finish_time.minute,property
,,inspect_weighcheck_finish_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Month,Production_History[0].Inspect_WeighCheck_Finish_Time.Month,tb1-process-model.inspect_weighcheck_finish_time.month,property
,,inspect_weighcheck_finish_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Second,Production_History[0].Inspect_WeighCheck_Finish_Time.Second,tb1-process-model.inspect_weighcheck_finish_time.second,property
,,inspect_weighcheck_finish_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Year,Production_History[0].Inspect_WeighCheck_Finish_Time.Year,tb1-process-model.inspect_weighcheck_finish_time.year,property
,,inspect_weighcheck_start_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Day,Production_History[0].Inspect_WeighCheck_Start_Time.Day,tb1-process-model.inspect_weighcheck_start_time.day,property
,,inspect_weighcheck_start_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Hour,Production_History[0].Inspect_WeighCheck_Start_Time.Hour,tb1-process-model.inspect_weighcheck_start_time.hour,property
,,inspect_weighcheck_start_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Minute,Production_History[0].Inspect_WeighCheck_Start_Time.Minute,tb1-process-model.inspect_weighcheck_start_time.minute,property
,,inspect_weighcheck_start_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Month,Production_History[0].Inspect_WeighCheck_Start_Time.Month,tb1-process-model.inspect_weighcheck_start_time.month,property
,,inspect_weighcheck_start_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Second,Production_History[0].Inspect_WeighCheck_Start_Time.Second,tb1-process-model.inspect_weighcheck_start_time.second,property
,,inspect_weighcheck_start_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Year,Production_History[0].Inspect_WeighCheck_Start_Time.Year,tb1-process-model.inspect_weighcheck_start_time.year,property
,,inspect_weighcheck_wait_on_robot,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Wait_on_Robot,Production_History[0].Inspect_WeighCheck_Wait_on_Robot,tb1-process-model.inspect_weighcheck_wait_on_robot,property
,,manual_recipe_number,tb1-process-model,node
tb1-process-plc,Production_History[0].Manual_Recipe_Number,Production_History[0].Manual_Recipe_Number,tb1-process-model.manual_recipe_number,property
,,mes_schedule_unique_id,tb1-process-model,node
tb1-process-plc,Production_History[0].MES_Schedule_Unique_ID,Production_History[0].MES_Schedule_Unique_ID,tb1-process-model.mes_schedule_unique_id,property
,,process_duration,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Duration,Production_History[0].Process_Duration,tb1-process-model.process_duration,property
,,process_finish_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Finish_Time.Day,Production_History[0].Process_Finish_Time.Day,tb1-process-model.process_finish_time.day,property
,,process_finish_time.hour,tb1-process-model,node
